id,nome,data_entrada,segmento,estado,cidade
48,Sr. Heitor Cunha,2024-03-16,Alimentos,RS,Duarte do Galho
49,Felipe Monteiro,2023-06-26,Eletrônicos,RJ,Gonçalves de Moreira
50,Lara Sales,2023-09-12,Beleza,RS,Pereira da Prata
51,Evelyn Ramos,2024-12-21,Eletrônicos,CE,Alves de Nascimento
52,Kaique Lopes,2023-06-11,Eletrônicos,PA,da Paz
53,Beatriz Pinto,2025-01-16,Eletrônicos,RN,Araújo dos Dourados
54,Bianca Freitas,2023-05-18,Casa,DF,Nunes
55,Maria Eduarda da Cruz,2024-04-03,Alimentos,PE,da Rocha da Praia
56,Nathan Cunha,2025-01-21,Moda,DF,da Luz de Cardoso
57,Sr. Marcelo Monteiro,2023-11-07,Alimentos,RR,Fogaça
58,Igor da Luz,2024-05-12,Beleza,ES,da Conceição
59,Samuel Vieira,2023-09-26,Alimentos,SP,Costa Alegre
60,Gustavo Novaes,2023-09-20,Moda,MS,Rocha de das Neves
61,Dra. Sarah Melo,2024-04-26,Eletrônicos,RN,Barbosa de Minas
62,Marina da Paz,2024-04-16,Casa,MG,Carvalho
63,Dr. Murilo Costa,2023-09-12,Eletrônicos,GO,Cavalcanti
64,Sra. Ana Beatriz Rocha,2023-09-01,Moda,AP,Carvalho
65,Maria Julia Barbosa,2023-11-12,Casa,PI,Costela de Silva
66,Srta. Júlia Novaes,2024-10-23,Casa,MT,Araújo de Nogueira
67,Luna Jesus,2023-07-20,Alimentos,MA,Fernandes
68,Murilo Santos,2024-03-13,Moda,AP,Cavalcanti do Oeste
69,João Felipe Cunha,2023-07-11,Eletrônicos,MG,Souza
70,Maria Luiza da Paz,2024-03-21,Moda,AC,Ribeiro
71,Luigi Almeida,2024-01-13,Beleza,AC,da Luz
72,Thales Melo,2024-11-11,Casa,RS,Souza
73,Anthony da Mota,2024-08-06,Moda,BA,Pinto
74,Milena Farias,2024-12-10,Moda,RO,Correia
75,Stephany Duarte,2024-11-30,Eletrônicos,BA,Castro
76,Benjamin Rezende,2023-07-20,Alimentos,RO,Moraes
77,Clara Caldeira,2023-08-26,Eletrônicos,RS,Duarte
78,Raul Costela,2024-10-15,Beleza,ES,Pereira
79,Vicente Fogaça,2024-08-11,Moda,BA,Viana de Carvalho
80,Anthony Azevedo,2024-04-09,Moda,CE,Barbosa dos Dourados
81,Nathan Pinto,2024-06-27,Eletrônicos,PI,Freitas Grande
82,Sofia da Cruz,2024-12-28,Beleza,RS,Pires de Barros
83,Dra. Larissa Vieira,2023-12-01,Casa,RN,Sales das Pedras
84,Raul da Conceição,2023-07-03,Moda,AL,Rocha do Campo
85,Yuri da Costa,2023-06-10,Eletrônicos,PB,Vieira
86,Luiza das Neves,2023-10-21,Moda,MS,da Cruz de da Costa
87,Ana Clara Oliveira,2024-02-02,Beleza,AL,Novaes da Mata
88,Emilly Carvalho,2023-06-20,Eletrônicos,SE,Dias Paulista
89,Dra. Caroline da Rosa,2024-12-16,Eletrônicos,AL,Campos das Flores
90,Ryan da Paz,2023-08-18,Eletrônicos,RO,da Rocha
91,Dr. Leandro da Cunha,2025-01-13,Moda,SE,Rezende
92,Enzo Gabriel Pires,2024-07-01,Alimentos,MS,Rezende
93,Nina Ferreira,2024-03-05,Eletrônicos,SC,da Cunha
94,Dr. Pedro Henrique Nunes,2024-08-15,Beleza,MA,da Rocha
95,Heloísa Pinto,2025-01-27,Moda,SP,da Luz
96,Júlia Santos,2023-11-20,Casa,SC,Nascimento da Mata
97,João Felipe Fogaça,2023-10-09,Casa,AC,Oliveira Grande
98,Dra. Stella Gomes,2024-11-02,Moda,AM,Fernandes de Rocha
99,Dr. Gustavo Henrique Barros,2023-12-03,Moda,RS,Farias Alegre
100,Gabriel Novaes,2023-05-28,Eletrônicos,DF,Souza Verde
101,Benício Lopes,2023-09-11,Moda,PI,Santos de Ribeiro
102,Anthony da Paz,2025-01-12,Eletrônicos,CE,Vieira
103,Bruno Cunha,2023-12-24,Eletrônicos,PI,Martins
104,Leonardo da Rocha,2024-10-18,Beleza,DF,Nunes
105,Sr. Enrico Silveira,2024-09-09,Eletrônicos,DF,Jesus de Cunha
106,Thales da Rosa,2023-12-12,Moda,SE,da Costa
107,Agatha Costa,2025-02-07,Alimentos,PA,Carvalho
108,Vitor Hugo Ramos,2023-07-30,Beleza,AP,da Paz
109,Otávio Pereira,2024-01-19,Casa,TO,Castro das Flores
110,Theo Martins,2024-08-02,Moda,PI,Correia do Norte
111,Nathan da Rocha,2024-07-01,Casa,CE,Cavalcanti
112,Gabrielly Ramos,2025-02-02,Casa,SE,da Mota
113,Maria Cecília Aragão,2023-09-30,Eletrônicos,RS,Aragão
114,Stephany Pires,2023-09-10,Alimentos,AL,Fernandes
115,Laís Nunes,2024-02-10,Casa,RR,Vieira das Flores
116,Maria Julia Alves,2024-11-04,Beleza,AL,Silveira
117,Maria Cecília Viana,2023-11-26,Casa,AC,Caldeira do Oeste
118,Carlos Eduardo Barbosa,2023-08-31,Casa,CE,Monteiro
119,Srta. Evelyn Alves,2023-07-29,Beleza,GO,Santos
120,Lucas Gabriel Vieira,2024-12-12,Alimentos,RN,da Costa Alegre
121,Heitor Pinto,2024-07-14,Alimentos,RS,Nunes
122,Gabrielly Moraes,2023-05-28,Casa,AP,Rezende Paulista
123,João Lucas Souza,2024-11-19,Beleza,MS,Dias
124,Carlos Eduardo Farias,2024-11-09,Moda,RN,Cardoso do Amparo
125,Dra. Mariane Rodrigues,2024-08-29,Casa,MG,Rocha
126,Sophia Ribeiro,2025-01-02,Eletrônicos,ES,Gonçalves
127,João Miguel Ramos,2024-11-22,Eletrônicos,GO,Duarte do Sul
128,Enrico Vieira,2024-07-21,Beleza,RS,Melo da Prata
129,Sr. Rafael Nascimento,2023-09-30,Moda,TO,Alves de Carvalho
130,Dr. Pedro Lucas Santos,2024-04-25,Casa,BA,Costa de Minas
131,Erick da Conceição,2024-01-15,Alimentos,RS,Ramos
132,Lucas Monteiro,2024-03-31,Beleza,AM,Caldeira
133,Luiz Felipe Silva,2024-03-24,Alimentos,RN,da Paz do Sul
134,Brenda Ferreira,2024-03-28,Moda,TO,Silveira
135,Alexia Teixeira,2024-09-07,Beleza,PA,Aragão
136,Isabelly Alves,2023-08-10,Alimentos,AP,Almeida Alegre
137,Sra. Lívia Pinto,2023-07-20,Alimentos,CE,Nunes do Campo
138,Maria Fernanda Vieira,2024-02-08,Eletrônicos,PA,Pereira
139,João Felipe Barros,2024-11-25,Beleza,RO,Porto das Flores
140,Gabriel Sales,2024-11-18,Casa,PE,Ferreira
141,Ana Sophia Martins,2023-09-01,Casa,BA,Moraes
142,Henrique da Luz,2023-07-11,Alimentos,TO,Correia de Goiás
143,Bryan Jesus,2023-10-21,Casa,GO,Mendes do Campo
144,Srta. Evelyn Rodrigues,2023-06-25,Eletrônicos,SC,Sales
145,João Miguel Aragão,2023-10-04,Alimentos,RN,Correia
146,Juliana Mendes,2024-01-09,Eletrônicos,RN,Alves da Serra
147,Melissa Nascimento,2023-10-13,Moda,MA,Mendes
148,Otávio Ferreira,2025-01-14,Beleza,AP,Silveira
149,Mariane Castro,2024-10-10,Moda,PR,Gomes da Praia
150,Gustavo Henrique Silva,2023-10-06,Moda,RR,Oliveira
151,Sophia Souza,2024-09-29,Alimentos,AC,Duarte
152,Sr. Pietro Nunes,2023-11-26,Casa,RS,Vieira da Serra
153,Theo da Paz,2023-07-02,Moda,AP,Carvalho de Pereira
154,João Guilherme da Paz,2024-05-05,Moda,PB,Lopes de Rocha
155,Maysa Pires,2024-08-17,Casa,RS,Viana do Galho
156,Sr. Benício Viana,2023-09-25,Beleza,BA,das Neves
157,Luiza da Luz,2023-11-12,Alimentos,RR,Santos
158,Milena Pereira,2023-09-21,Eletrônicos,RO,Porto da Mata
159,Melissa da Rocha,2024-02-24,Alimentos,SP,Farias
160,Lara Rocha,2025-01-12,Moda,MT,da Conceição
161,Sr. João Vitor Costela,2023-09-26,Eletrônicos,SC,Ribeiro das Flores
162,Dra. Sophia Moraes,2024-11-05,Eletrônicos,TO,da Mota
163,Yasmin Jesus,2024-07-06,Beleza,RN,Campos
164,Cecília Costela,2023-06-14,Eletrônicos,BA,Moreira
165,Sr. Pedro Lucas Azevedo,2024-10-23,Casa,SC,Nogueira do Amparo
166,Gustavo Oliveira,2024-05-15,Casa,BA,Costela de Cardoso
167,Mirella das Neves,2023-12-29,Moda,AP,Pereira Alegre
168,Gabriel Moreira,2024-11-08,Casa,AP,da Cunha do Sul
169,Dra. Maria Vitória Lopes,2023-05-31,Alimentos,TO,Gonçalves
170,Fernanda das Neves,2023-11-26,Moda,RR,Ramos do Amparo
171,Esther Monteiro,2024-01-01,Casa,MT,Aragão de Souza
172,Vitor Hugo Fernandes,2024-05-16,Moda,SE,Nascimento
173,Vicente Teixeira,2023-06-12,Alimentos,BA,Santos
174,Felipe da Cruz,2023-06-21,Alimentos,AM,Cunha Grande
175,Emanuel da Cunha,2024-05-22,Casa,AM,Ferreira
176,Benício Almeida,2024-08-02,Moda,MG,Nunes
177,Renan Moreira,2025-01-26,Moda,SP,da Mota de Nogueira
178,Benjamin Duarte,2025-01-12,Alimentos,MS,da Costa do Oeste
179,Natália Silveira,2024-11-11,Moda,PE,Teixeira
180,Nathan da Paz,2025-01-10,Eletrônicos,ES,Viana da Praia
181,Stella Pinto,2024-03-19,Eletrônicos,CE,da Rosa de Vieira
182,Dra. Ana Correia,2024-06-11,Casa,RO,Fogaça das Flores
183,Sr. Murilo Lima,2023-07-24,Eletrônicos,BA,Sales
184,Bernardo da Luz,2024-01-25,Alimentos,BA,Moura do Campo
185,Danilo Azevedo,2023-09-21,Moda,MG,Fogaça de Minas
186,Srta. Laura Fernandes,2024-11-27,Eletrônicos,RN,Mendes das Flores
187,Srta. Olivia da Rocha,2023-05-14,Moda,RS,Cunha da Serra
188,Rafaela Porto,2025-01-14,Casa,AL,Rodrigues do Sul
189,Srta. Alícia Farias,2024-02-25,Moda,PB,da Mata do Norte
190,João Miguel Pinto,2024-06-03,Casa,PI,Correia
191,Noah Ribeiro,2024-11-08,Moda,PA,Campos do Sul
192,Levi Santos,2023-09-11,Casa,GO,Aragão da Mata
193,Dr. Rodrigo Cardoso,2025-02-05,Alimentos,RS,da Conceição
194,Isabel Teixeira,2023-08-10,Casa,PA,Peixoto do Norte
195,Letícia Nogueira,2024-08-24,Moda,AP,Peixoto do Oeste
196,Sr. João Vitor Azevedo,2024-05-25,Moda,MS,Pinto
197,Eduarda da Paz,2024-04-04,Alimentos,SE,da Cunha
198,Srta. Sarah Nogueira,2024-07-13,Alimentos,SC,Freitas de Minas
199,Isabelly Fernandes,2024-05-01,Casa,PI,da Rocha Paulista
200,Alícia Ribeiro,2024-03-25,Alimentos,AL,Novaes das Flores
